,Value
2022-10-31,129340.42204212346
2022-11-01,130798.03774547135
2022-11-02,130163.9985846778
2022-11-03,130442.15307552762
2022-11-04,132942.00902597432
2022-11-07,135068.405775952
2022-11-09,134516.03385265812
2022-11-10,133300.9700600332
2022-11-11,133741.3296527009
2022-11-14,133968.14609247624
2022-11-15,134659.95671547137
2022-11-16,134203.76845523753
2022-11-17,134108.794245974
2022-11-18,132983.38358450035
2022-11-21,132754.25403434498
2022-11-22,133683.22825773354
2022-11-23,133492.62826222894
2022-11-24,134356.89223219454
2022-11-25,134650.10555329156
2022-11-28,134906.18171734663
2022-11-29,135097.750978506
2022-11-30,135949.43615838085
2022-12-01,136314.46890441084
2022-12-02,136424.06515254625
2022-12-05,136741.66275329285
2022-12-06,136763.32602904807
2022-12-07,135814.0732906449
2022-12-08,136052.39368159027
2022-12-09,135475.03016654655
2022-12-12,135813.79226425517
2022-12-13,136609.89060422548
2022-12-14,136944.8530912804
2022-12-15,135586.9241077071
2022-12-16,133945.144275043
2022-12-19,135395.82113427174
2022-12-20,135468.99246523308
2022-12-21,133031.6816824848
2022-12-22,131914.9232586174
2022-12-23,129589.83380267433
2022-12-26,130225.03368865246
2022-12-27,129929.8141564001
2022-12-28,129732.95783460767
2022-12-29,129763.14710077393
2022-12-30,129503.64571579649
2023-01-02,129419.23122070827
2023-01-03,128997.30713564788
2023-01-04,128082.16066816488
2023-01-05,128192.27928903431
2023-01-06,128021.85699395176
2023-01-09,127854.13483775184
2023-01-10,128414.29498362998
2023-01-11,128635.30910123032
2023-01-12,128876.73067242387
2023-01-13,128965.82486733493
2023-01-16,128859.93328320063
2023-01-17,129071.33648777792
2023-01-18,128962.94107984334
2023-01-19,128651.56214932007
2023-01-20,127881.4064439231
2023-01-23,127836.94445937163
2023-01-24,127691.00742530194
2023-01-25,127286.11790670552
2023-01-27,127390.00967694528
2023-01-30,127836.87218195279
2023-01-31,128506.2357171677
2023-02-01,128895.85749054111
2023-02-02,128836.05579507795
2023-02-03,128686.92363707346
