,Value
2023-05-25,143133.48140746084
2023-05-26,143703.35299417205
2023-05-29,144392.52234496863
2023-05-30,144242.68803275406
2023-05-31,144891.11138601074
2023-06-01,144712.84767753785
2023-06-02,146208.60135240186
2023-06-05,146729.01938926362
2023-06-06,146896.54146073692
2023-06-07,147757.80602703232
2023-06-08,147768.45151485273
2023-06-09,148862.95683476247
2023-06-12,148634.58874656088
2023-06-13,149268.2258478662
2023-06-14,150107.96444962086
2023-06-15,150867.38769825225
2023-06-16,152279.22737363257
2023-06-19,151573.92653562262
2023-06-20,151500.02367765427
2023-06-21,151070.50841093741
2023-06-22,150038.46437520537
2023-06-23,147848.64485852758
2023-06-26,149259.849813786
2023-06-27,149596.91996427628
2023-06-28,152117.04808572988
2023-06-30,152875.612432189
2023-07-03,152692.01794681896
2023-07-04,152001.63553762255
2023-07-05,152687.95211135127
2023-07-06,154357.89198408663
2023-07-07,152721.92431028353
2023-07-10,152608.66943306793
2023-07-11,155025.84829472326
2023-07-12,154392.40757753086
2023-07-13,153432.1440603351
2023-07-14,154018.05511722545
2023-07-17,154294.18457606682
2023-07-18,153997.8506623386
2023-07-19,155261.59103089204
2023-07-20,156013.00796524188
2023-07-21,154759.48812311408
2023-07-24,154827.0301598364
2023-07-25,154720.89331934814
2023-07-26,155026.4386397827
2023-07-27,155361.5902964708
2023-07-28,156993.2917227993
2023-07-31,158120.68328646052
2023-08-01,156824.11270812387
2023-08-02,154702.2437736275
2023-08-03,154661.3929859797
2023-08-04,155853.73408413847
2023-08-07,156712.8784386558
2023-08-08,157426.62925942664
2023-08-09,158344.61237860128
2023-08-10,157675.38886039337
2023-08-11,157199.13252148443
2023-08-14,156320.5413223137
2023-08-16,156979.09800846336
2023-08-17,156181.77495907695
2023-08-18,155465.9296209867
2023-08-21,157246.11674172414
2023-08-22,159361.12608410593
2023-08-23,160752.69034108138
2023-08-24,159769.2849883866
2023-08-25,158129.337671868
2023-08-28,158820.80439460123
2023-08-29,158814.20700657598
2023-08-30,159160.18764800622
2023-08-31,159598.0314743867
2023-09-01,160924.292838246
2023-09-04,161984.81444189342
2023-09-05,162700.33916610817
