date,portfolio_value,cash
2013-10-30,254893.44298613103,38234.016447919654
2013-10-31,256860.30196197063,38529.045294295596
2013-11-01,257254.81672749328,38588.22250912399
2013-11-05,257071.48764298213,38560.723146447315
2013-11-06,255683.8441162117,38352.576617431754
2013-11-07,254064.848218997,38109.72723284955
2013-11-08,253654.28189310143,38048.142283965215
2013-11-11,252596.84990132213,37889.52748519832
2013-11-12,249477.59703804264,37421.639555706395
2013-11-13,249061.98718497853,37359.298077746775
2013-11-14,249675.324666924,37451.2987000386
2013-11-18,254756.9073679425,38213.53610519137
2013-11-19,254682.8233601092,38202.42350401638
2013-11-20,252282.7716629651,37842.415749444765
2013-11-21,248049.0179143497,37207.35268715245
2013-11-22,248911.04783025745,37336.65717453862
2013-11-25,250880.5622292729,37632.08433439094
2013-11-26,245750.3733643932,36862.556004658974
2013-11-27,246461.1522937194,36969.17284405791
2013-11-28,250035.8279437936,37505.37419156904
2013-11-29,252304.01774818037,37845.60266222705
2013-12-02,254951.6604161044,38242.749062415656
2013-12-03,254402.9045385504,38160.43568078256
2013-12-04,253231.43624685728,37984.71543702859
2013-12-05,256758.270099022,38513.7405148533
2013-12-06,257992.6334654135,38698.89501981202
2013-12-09,262842.4967164995,39426.374507474924
2013-12-10,259320.900818529,38898.13512277935
2013-12-11,256398.65122478863,38459.797683718294
2013-12-12,252153.68576333256,37823.052864499885
2013-12-13,248834.0276916392,37325.10415374588
2013-12-16,248577.23012831368,37286.58451924705
2013-12-17,248721.53200201987,37308.22980030298
2013-12-18,252030.89031454312,37804.63354718147
2013-12-19,251015.8072762896,37652.371091443434
2013-12-20,254499.5446704124,38174.93170056186
2013-12-23,257110.28098441235,38566.54214766185
2013-12-24,256427.7358085332,38464.16037127998
2013-12-26,257466.1071886845,38619.916078302675
2013-12-27,258739.34135690887,38810.90120353633
2013-12-30,258047.98801527024,38707.198202290536
2013-12-31,257572.04425472333,38635.806638208494
2014-01-02,253808.6886849335,38071.30330274002
2014-01-03,251562.7039036938,37734.405585554065
2014-01-06,251765.7631882479,37764.864478237185
2014-01-07,249917.69528766,37487.654293149
2014-01-08,250422.92921594845,37563.439382392266
2014-01-09,250302.7674354809,37545.41511532213
2014-01-10,248354.51357435208,37253.17703615281
2014-01-13,249513.70974793303,37427.056462189954
2014-01-14,247573.20808505855,37135.98121275878
2014-01-15,249043.72422525863,37356.558633788794
2014-01-16,249804.3771760786,37470.656576411784
2014-01-17,246169.92374466007,36925.48856169901
2014-01-20,247681.36188840508,37152.20428326076
2014-01-21,247720.73429959585,37158.110144939375
2014-01-22,249123.36438068104,37368.50465710215
2014-01-23,248895.50654460143,37334.325981690214
2014-01-24,244974.2657135485,36746.13985703227
2014-01-27,237851.27486138188,35677.69122920728
2014-01-28,237913.9082707199,35687.08624060798
2014-01-29,239274.5903517509,35891.18855276264
2014-01-30,240724.8695341586,36108.73043012379
2014-01-31,241624.64997569533,36243.697496354296
2014-02-03,241712.19711095,36256.8295666425
2014-02-04,244300.7182407988,36645.10773611982
2014-02-05,244978.15788886647,36746.72368332997
2014-02-06,245290.4040507069,36793.56060760603
2014-02-07,245224.94640671383,36783.74196100707
2014-02-10,245694.91390896487,36854.23708634473
2014-02-11,245688.12463821005,36853.218695731506
2014-02-12,246428.57813853724,36964.28672078058
2014-02-13,247753.8099526322,37163.07149289483
2014-02-14,248480.87970857948,37272.13195628692
2014-02-18,248479.54449279615,37271.93167391942
2014-02-19,249562.94392606823,37434.44158891023
2014-02-20,247169.67045471625,37075.45056820744
2014-02-21,248558.7862475658,37283.81793713487
2014-02-24,246638.59210273784,36995.78881541068
2014-02-25,247376.61456465136,37106.4921846977
2014-02-26,248197.39239201063,37229.60885880159
2014-02-28,249964.238097301,37494.63571459515
2014-03-03,247772.75614868812,37165.913422303216
2014-03-04,250199.8664374049,37529.979965610735
2014-03-05,251008.86335928208,37651.32950389231
2014-03-06,253865.1044882068,38079.76567323102
2014-03-07,260483.72803673128,39072.55920550969
2014-03-10,261621.063130848,39243.1594696272
2014-03-11,259989.0368274674,38998.35552412011
2014-03-12,259792.55840387288,38968.88376058093
2014-03-13,262229.3055991713,39334.395839875695
2014-03-14,263845.45888788544,39576.81883318281
2014-03-18,264799.470594937,39719.920589240544
2014-03-19,264735.8295557167,39710.37443335751
2014-03-20,261741.13756136177,39261.17063420427
2014-03-21,262773.1802592749,39415.97703889124
2014-03-24,265106.0849972204,39765.912749583054
2014-03-25,267126.9171067508,40069.03756601262
2014-03-26,267305.731739266,40095.8597608899
2014-03-27,270702.4257625532,40605.363864382976
2014-03-28,274135.74074923585,41120.36111238538
2014-03-31,276909.61991364293,41536.44298704644
2014-04-01,275402.1620537972,41310.32430806958
2014-04-02,276625.6630999447,41493.849464991705
2014-04-03,275571.1213599384,41335.66820399076
2014-04-04,275765.7306063037,41364.859590945554
2014-04-07,276339.8333829108,41450.975007436624
2014-04-09,280001.7375117225,42000.26062675837
2014-04-10,283953.40293341054,42593.01044001158
2014-04-11,281138.756078631,42170.81341179465
2014-04-15,278269.8636710416,41740.479550656244
2014-04-16,277486.51609449874,41622.97741417481
2014-04-17,280368.2492938126,42055.23739407189
2014-04-21,283558.0724729934,42533.710870949006
2014-04-22,284175.93967260147,42626.39095089022
2014-04-23,284216.4709185822,42632.47063778733
2014-04-25,282579.06389413413,42386.85958412012
2014-04-28,282004.12030246283,42300.618045369425
2014-04-29,280424.37622784293,42063.65643417644
2014-04-30,278326.1507419871,41748.92261129806
2014-05-02,277850.19241391995,41677.528862087995
2014-05-05,279122.6406271806,41868.396094077085
2014-05-06,280566.1966023923,42084.929490358845
2014-05-07,279271.25349041686,41890.68802356253
2014-05-08,279412.99564653164,41911.949346979745
2014-05-09,286174.0807630724,42926.11211446086
2014-05-12,291546.20959427493,43731.93143914124
2014-05-13,296438.06333755393,44465.709500633086
2014-05-14,298675.39317291265,44801.308975936896
2014-05-15,299774.29319947265,44966.1439799209
2014-05-16,304732.1600806428,45709.82401209642
2014-05-19,310979.97544470924,46646.99631670638
2014-05-20,309755.65218324226,46463.34782748634
2014-05-21,307432.5280359563,46114.879205393445
2014-05-22,309910.5576243374,46486.58364365061
2014-05-23,314458.6561731076,47168.79842596614
2014-05-26,312219.0953897674,46832.864308465105
2014-05-27,309769.5770959391,46465.43656439086
2014-05-28,308517.7047858817,46277.65571788225
2014-05-29,306018.1079042006,45902.71618563009
2014-05-30,307958.1872621958,46193.72808932937
2014-06-02,312993.0342541017,46948.95513811525
2014-06-03,319034.8752795742,47855.23129193613
2014-06-04,321408.1398883038,48211.22098324557
2014-06-05,325457.69308930164,48818.65396339524
2014-06-06,328579.02336669544,49286.853505004314
2014-06-09,331601.73814013874,49740.26072102081
2014-06-10,332767.77163558063,49915.16574533709
2014-06-11,328479.6474343266,49271.947115148985
2014-06-12,328644.0220291592,49296.60330437388
2014-06-13,322755.0319981754,48413.2547997263
2014-06-16,322994.0607067763,48449.10910601644
2014-06-17,328075.2107413296,49211.28161119944
2014-06-18,324714.31126999913,48707.14669049987
2014-06-19,321139.89620414056,48170.98443062108
2014-06-20,319359.4108419407,47903.911626291105
2014-06-23,320016.718297618,48002.507744642695
2014-06-24,324963.8670083616,48744.58005125424
2014-06-25,326140.285217456,48921.042782618395
2014-06-26,323757.3206626655,48563.59809939982
2014-06-27,322998.8610730749,48449.829160961235
2014-06-30,327712.4081170817,49156.86121756225
2014-07-01,329878.9988338427,49481.8498250764
2014-07-02,336064.7933033144,50409.71899549716
2014-07-03,335796.8039646911,50369.52059470367
2014-07-04,336382.2338928066,50457.33508392098
2014-07-07,336556.9492063601,50483.542380954015
2014-07-08,326422.0120737358,48963.30181106037
2014-07-09,324344.632392653,48651.69485889794
2014-07-10,322682.6248221791,48402.39372332686
2014-07-11,317138.2508051728,47570.737620775915
2014-07-14,317182.9147305137,47577.43720957705
2014-07-15,321674.591501002,48251.1887251503
2014-07-16,325925.10990810284,48888.76648621543
2014-07-17,329615.45516116306,49442.31827417446
2014-07-18,328571.5376222738,49285.73064334106
2014-07-21,327868.63565994304,49180.29534899146
2014-07-22,330445.68913514994,49566.85337027249
2014-07-23,330442.14795345097,49566.322193017644
2014-07-24,331921.80252899707,49788.27037934956
2014-07-25,330330.99407029257,49549.64911054388
2014-07-28,329192.19994923414,49378.82999238512
2014-07-30,331351.6734407592,49702.75101611388
2014-07-31,330588.1684081184,49588.22526121776
2014-08-01,325245.6207193888,48786.843107908324
2014-08-04,326864.41332025686,49029.66199803853
2014-08-05,329442.2694705193,49416.3404205779
2014-08-06,325922.4655873074,48888.36983809611
2014-08-07,325780.1160257474,48867.017403862104
2014-08-08,323953.8739519884,48593.08109279826
2014-08-11,325990.76710539835,48898.615065809754
2014-08-12,329922.1274597672,49488.31911896508
2014-08-13,332153.01420504035,49822.95213075605
2014-08-14,335292.03092564014,50293.80463884602
2014-08-18,339900.64789587574,50985.09718438136
2014-08-19,340895.9550948417,51134.39326422626
2014-08-20,343104.0061611164,51465.60092416746
2014-08-21,345069.5812575653,51760.437188634794
2014-08-22,345362.1812604756,51804.32718907134
2014-08-25,346101.46755821304,51915.22013373196
2014-08-26,347423.8214050241,52113.57321075361
2014-08-27,347985.7728819033,52197.86593228549
2014-08-28,347908.826043766,52186.323906564896
2014-09-01,353271.4081718943,52990.71122578414
2014-09-02,357230.02630869305,53584.50394630396
2014-09-03,359014.7904685264,53852.218570278965
2014-09-04,358532.47353242285,53779.871029863425
2014-09-05,357687.33872729074,53653.10080909361
2014-09-08,361520.20431129285,54228.03064669393
2014-09-09,361992.1463444791,54298.82195167187
